,wavenumber,absorbance
0,7496.97825,0.00751
1,7495.04952,0.00828
2,7493.12079,0.0083
3,7491.19206,0.00709
4,7489.26333,0.00456
5,7487.33459,0.00264
6,7485.40586,0.00282
7,7483.47713,0.00362
8,7481.5484,0.00459
9,7479.61967,0.00684
10,7477.69094,0.00792
11,7475.76221,0.00571
12,7473.83348,0.00317
13,7471.90474,0.00248
14,7469.97601,0.00192
15,7468.04728,0.0001
16,7466.11855,-0.00153
17,7464.18982,-0.00132
18,7462.26109,-0.00011
19,7460.33236,0.00046
20,7458.40363,0.00043
21,7456.47489,0.00058
22,7454.54616,0.0014
23,7452.61743,0.0032
24,7450.6887,0.0047
25,7448.75997,0.00415
26,7446.83124,0.00321
27,7444.90251,0.00364
28,7442.97378,0.00363
29,7441.04504,0.00212
30,7439.11631,0.00065
31,7437.18758,0.00039
32,7435.25885,0.00153
33,7433.33012,0.00358
34,7431.40139,0.00521
35,7429.47266,0.00496
36,7427.54393,0.00355
37,7425.6152,0.00312
38,7423.68646,0.00375
39,7421.75773,0.00483
40,7419.829,0.00616
41,7417.90027,0.00635
42,7415.97154,0.00518
43,7414.04281,0.00404
44,7412.11408,0.00249
45,7410.18535,-9e-05
46,7408.25661,-0.00074
47,7406.32788,0.00229
48,7404.39915,0.00519
49,7402.47042,0.00471
50,7400.54169,0.00221
51,7398.61296,-8e-05
52,7396.68423,-0.00153
53,7394.7555,-0.00231
54,7392.82676,-0.00207
55,7390.89803,-0.00036
56,7388.9693,0.00193
57,7387.04057,0.00263
58,7385.11184,0.00106
59,7383.18311,-0.00132
60,7381.25438,-0.00219
61,7379.32565,-0.00042
62,7377.39691,0.00185
63,7375.46818,0.00202
64,7373.53945,-9e-05
65,7371.61072,-0.00275
66,7369.68199,-0.00419
67,7367.75326,-0.0042
68,7365.82453,-0.00261
69,7363.8958,-0.00015
70,7361.96706,0.00061
71,7360.03833,-0.00018
72,7358.1096,0.00016
73,7356.18087,0.00195
74,7354.25214,0.00417
75,7352.32341,0.00569
76,7350.39468,0.00439
77,7348.46595,-0.00034
78,7346.53722,-0.00527
79,7344.60848,-0.00661
80,7342.67975,-0.00407
81,7340.75102,-0.00013
82,7338.82229,0.00269
83,7336.89356,0.00224
84,7334.96483,-0.00138
85,7333.0361,-0.00464
86,7331.10737,-0.00509
87,7329.17863,-0.00421
88,7327.2499,-0.00424
89,7325.32117,-0.00436
90,7323.39244,-0.0032
91,7321.46371,-0.00186
92,7319.53498,-0.00124
93,7317.60625,-0.00075
94,7315.67752,-0.00032
95,7313.74878,-0.00063
96,7311.82005,-0.00244
97,7309.89132,-0.00487
98,7307.96259,-0.00553
99,7306.03386,-0.00372
100,7304.10513,-0.00163
101,7302.1764,-0.00095
102,7300.24767,-0.00046
103,7298.31893,0.00107
104,7296.3902,0.00278
105,7294.46147,0.00331
106,7292.53274,0.00197
107,7290.60401,-0.0002
108,7288.67528,-0.00102
109,7286.74655,-0.00094
110,7284.81782,-0.00169
111,7282.88908,-0.00209
112,7280.96035,-0.0007
113,7279.03162,0.00078
114,7277.10289,0.00046
115,7275.17416,-0.00014
116,7273.24543,0.00066
117,7271.3167,0.00168
118,7269.38797,0.00202
119,7267.45924,0.00231
120,7265.5305,0.00229
121,7263.60177,0.00074
122,7261.67304,-0.00149
123,7259.74431,-0.00102
124,7257.81558,0.00257
125,7255.88685,0.00487
126,7253.95812,0.00281
127,7252.02939,-0.00149
128,7250.10065,-0.00435
129,7248.17192,-0.00429
130,7246.24319,-0.00214
131,7244.31446,-0.00033
132,7242.38573,-0.00057
133,7240.457,-0.00119
134,7238.52827,0.00049
135,7236.59954,0.003
136,7234.6708,0.00214
137,7232.74207,-0.00127
138,7230.81334,-0.00226
139,7228.88461,-4e-05
140,7226.95588,0.00251
141,7225.02715,0.00309
142,7223.09842,0.00119
143,7221.16969,-0.00116
144,7219.24095,-0.00158
145,7217.31222,0.00036
146,7215.38349,0.00319
147,7213.45476,0.00495
148,7211.52603,0.00506
149,7209.5973,0.00417
150,7207.66857,0.00255
151,7205.73984,0.00079
152,7203.8111,5e-05
153,7201.88237,0.00019
154,7199.95364,0.00081
155,7198.02491,0.00135
156,7196.09618,0.00074
157,7194.16745,0.00018
158,7192.23872,0.00106
159,7190.30999,0.00211
160,7188.38126,0.00284
161,7186.45252,0.00306
162,7184.52379,0.00182
163,7182.59506,-0.00062
164,7180.66633,-0.00307
165,7178.7376,-0.00367
166,7176.80887,-0.00177
167,7174.88014,0.00012
168,7172.95141,0.0001
169,7171.02267,-0.00057
170,7169.09394,-0.00011
171,7167.16521,0.00069
172,7165.23648,-0.0006
173,7163.30775,-0.00366
174,7161.37902,-0.0051
175,7159.45029,-0.00368
176,7157.52156,-0.00234
177,7155.59282,-0.0025
178,7153.66409,-0.00181
179,7151.73536,0.00041
180,7149.80663,0.00189
181,7147.8779,0.00174
182,7145.94917,0.00033
183,7144.02044,-0.00215
184,7142.09171,-0.00415
185,7140.16297,-0.00353
186,7138.23424,-0.0014
187,7136.30551,-0.00045
188,7134.37678,0.00037
189,7132.44805,0.00213
190,7130.51932,0.0029
191,7128.59059,0.00236
192,7126.66186,0.00138
193,7124.73312,0.00071
194,7122.80439,0.00135
195,7120.87566,0.00193
196,7118.94693,0.00082
197,7117.0182,-0.00027
198,7115.08947,0.00027
199,7113.16074,0.00164
200,7111.23201,0.00245
201,7109.30328,0.00194
202,7107.37454,0.00068
203,7105.44581,3e-05
204,7103.51708,0.00096
205,7101.58835,0.00223
206,7099.65962,0.00149
207,7097.73089,-0.00092
208,7095.80216,-0.00225
209,7093.87343,-0.00111
210,7091.94469,0.00112
211,7090.01596,0.0025
212,7088.08723,0.0029
213,7086.1585,0.00295
214,7084.22977,0.00253
215,7082.30104,0.00183
216,7080.37231,0.00134
217,7078.44358,0.00015
218,7076.51484,-0.00166
219,7074.58611,-0.00194
220,7072.65738,-0.00055
221,7070.72865,0.00077
222,7068.79992,0.00213
223,7066.87119,0.00419
224,7064.94246,0.00554
225,7063.01373,0.00506
226,7061.08499,0.00349
227,7059.15626,0.00229
228,7057.22753,0.00262
229,7055.2988,0.00344
230,7053.37007,0.00307
231,7051.44134,0.0022
232,7049.51261,0.00188
233,7047.58388,0.00129
234,7045.65514,-0.00027
235,7043.72641,-0.0018
236,7041.79768,-0.0029
237,7039.86895,-0.00421
238,7037.94022,-0.00471
239,7036.01149,-0.00331
240,7034.08276,-0.00128
241,7032.15403,0.0002
242,7030.2253,0.00114
243,7028.29656,0.00078
244,7026.36783,-0.00069
245,7024.4391,-0.00087
246,7022.51037,0.00132
247,7020.58164,0.00418
248,7018.65291,0.00562
249,7016.72418,0.00461
250,7014.79545,0.00231
251,7012.86671,0.00152
252,7010.93798,0.00251
253,7009.00925,0.00278
254,7007.08052,0.00141
255,7005.15179,0.0001
256,7003.22306,0.00041
257,7001.29433,0.00066
258,6999.3656,-0.00107
259,6997.43686,-0.0027
260,6995.50813,-0.00199
261,6993.5794,-8e-05
262,6991.65067,0.00137
263,6989.72194,0.00265
264,6987.79321,0.00359
265,6985.86448,0.00279
266,6983.93575,0.00095
267,6982.00701,0.00023
268,6980.07828,0.0009
269,6978.14955,0.00206
270,6976.22082,0.00291
271,6974.29209,0.00317
272,6972.36336,0.0033
273,6970.43463,0.00327
274,6968.5059,0.00228
275,6966.57716,0.00063
276,6964.64843,-0.00032
277,6962.7197,-0.00038
278,6960.79097,-0.00035
279,6958.86224,-0.00023
280,6956.93351,0.00047
281,6955.00478,0.00115
282,6953.07605,0.00082
283,6951.14732,0.00012
284,6949.21858,0.00067
285,6947.28985,0.00235
286,6945.36112,0.00308
287,6943.43239,0.00236
288,6941.50366,0.00191
289,6939.57493,0.00231
290,6937.6462,0.00229
291,6935.71747,0.00143
292,6933.78873,0.00111
293,6931.86,0.00181
294,6929.93127,0.00215
295,6928.00254,0.00132
296,6926.07381,0.00053
297,6924.14508,0.00095
298,6922.21635,0.00139
299,6920.28762,0.0007
300,6918.35888,0.00046
301,6916.43015,0.00157
302,6914.50142,0.00187
303,6912.57269,0.00042
304,6910.64396,-0.00088
305,6908.71523,-0.00092
306,6906.7865,0.00017
307,6904.85777,0.00105
308,6902.92903,0.00036
309,6901.0003,-0.00083
310,6899.07157,-0.00118
311,6897.14284,-0.00049
312,6895.21411,0.00092
313,6893.28538,0.00145
314,6891.35665,8e-05
315,6889.42792,-0.00144
316,6887.49918,-0.00082
317,6885.57045,0.00148
318,6883.64172,0.0034
319,6881.71299,0.00368
320,6879.78426,0.00226
321,6877.85553,0.00086
322,6875.9268,0.00085
323,6873.99807,0.00083
324,6872.06934,2e-05
325,6870.1406,7e-05
326,6868.21187,0.00155
327,6866.28314,0.00303
328,6864.35441,0.00319
329,6862.42568,0.00227
330,6860.49695,0.00157
331,6858.56822,0.0015
332,6856.63949,0.00137
333,6854.71075,0.00079
334,6852.78202,-0.0002
335,6850.85329,-0.00095
336,6848.92456,-0.0008
337,6846.99583,0.00021
338,6845.0671,0.00061
339,6843.13837,0.00024
340,6841.20964,-0.00019
341,6839.2809,-0.0002
342,6837.35217,0.00042
343,6835.42344,0.0014
344,6833.49471,0.00228
345,6831.56598,0.00295
346,6829.63725,0.00336
347,6827.70852,0.00418
348,6825.77979,0.00494
349,6823.85105,0.00429
350,6821.92232,0.00253
351,6819.99359,0.00086
352,6818.06486,0.00077
353,6816.13613,0.00189
354,6814.2074,0.00166
355,6812.27867,0.00045
356,6810.34994,0.0005
357,6808.4212,0.00116
358,6806.49247,0.00109
359,6804.56374,0.00149
360,6802.63501,0.00249
361,6800.70628,0.00177
362,6798.77755,-2e-05
363,6796.84882,0.00022
364,6794.92009,0.0024
365,6792.99136,0.00432
366,6791.06262,0.00455
367,6789.13389,0.00231
368,6787.20516,-0.00048
369,6785.27643,-0.00016
370,6783.3477,0.00273
371,6781.41897,0.00427
372,6779.49024,0.00391
373,6777.56151,0.00368
374,6775.63277,0.00346
375,6773.70404,0.00276
376,6771.77531,0.00248
377,6769.84658,0.0022
378,6767.91785,0.00116
379,6765.98912,0.00071
380,6764.06039,0.00122
381,6762.13166,0.00148
382,6760.20292,0.00155
383,6758.27419,0.00168
384,6756.34546,0.00128
385,6754.41673,0.00038
386,6752.488,-0.00039
387,6750.55927,-0.00056
388,6748.63054,-0.00012
389,6746.70181,0.00069
390,6744.77307,0.00135
391,6742.84434,0.00103
392,6740.91561,-0.00018
393,6738.98688,-0.00126
394,6737.05815,-0.00106
395,6735.12942,0.00066
396,6733.20069,0.00241
397,6731.27196,0.00306
398,6729.34322,0.0031
399,6727.41449,0.00324
400,6725.48576,0.00356
401,6723.55703,0.00348
402,6721.6283,0.00246
403,6719.69957,0.00097
404,6717.77084,-0.00015
405,6715.84211,-0.00066
406,6713.91338,-0.00045
407,6711.98464,0.00045
408,6710.05591,0.00096
409,6708.12718,3e-05
410,6706.19845,-0.00182
411,6704.26972,-0.00258
412,6702.34099,-0.00152
413,6700.41226,-0.00047
414,6698.48353,-1e-05
415,6696.55479,0.00024
416,6694.62606,-0.00038
417,6692.69733,-0.00116
418,6690.7686,-0.00136
419,6688.83987,-0.00173
420,6686.91114,-0.0022
421,6684.98241,-0.00182
422,6683.05368,-0.00057
423,6681.12494,0.00073
424,6679.19621,0.00179
425,6677.26748,0.00229
426,6675.33875,0.00184
427,6673.41002,0.00173
428,6671.48129,0.00258
429,6669.55256,0.00261
430,6667.62383,0.00186
431,6665.69509,0.00172
432,6663.76636,0.00214
433,6661.83763,0.00298
434,6659.9089,0.00348
435,6657.98017,0.00263
436,6656.05144,0.00072
437,6654.12271,-0.00089
438,6652.19398,-0.00078
439,6650.26524,0.00026
440,6648.33651,0.0012
441,6646.40778,0.00254
442,6644.47905,0.00325
443,6642.55032,0.0027
444,6640.62159,0.00241
445,6638.69286,0.00255
446,6636.76413,0.00173
447,6634.8354,0.00065
448,6632.90666,0.00083
449,6630.97793,0.00118
450,6629.0492,0.0007
451,6627.12047,0.00032
452,6625.19174,0.00039
453,6623.26301,0.00014
454,6621.33428,-4e-05
455,6619.40555,0.00068
456,6617.47681,0.00088
457,6615.54808,-0.00015
458,6613.61935,-0.00091
459,6611.69062,-0.00133
460,6609.76189,-0.00182
461,6607.83316,-0.00161
462,6605.90443,-0.00118
463,6603.9757,-0.00142
464,6602.04696,-0.00165
465,6600.11823,-0.00127
466,6598.1895,-0.00041
467,6596.26077,0.00058
468,6594.33204,0.0014
469,6592.40331,0.00168
470,6590.47458,0.00114
471,6588.54585,0.00093
472,6586.61711,0.00203
473,6584.68838,0.00325
474,6582.75965,0.00305
475,6580.83092,0.00182
476,6578.90219,0.00098
477,6576.97346,0.0001
478,6575.04473,-0.00137
479,6573.116,-0.00196
480,6571.18726,-0.0007
481,6569.25853,0.00121
482,6567.3298,0.00195
483,6565.40107,0.00172
484,6563.47234,0.00166
485,6561.54361,0.00165
486,6559.61488,0.00184
487,6557.68615,0.00221
488,6555.75742,0.00174
489,6553.82868,0.00058
490,6551.89995,-0.00012
491,6549.97122,-0.00019
492,6548.04249,6e-05
493,6546.11376,0.00039
494,6544.18503,0.00031
495,6542.2563,-0.0002
496,6540.32757,-0.00046
497,6538.39883,8e-05
498,6536.4701,0.00076
499,6534.54137,0.00016
500,6532.61264,-0.00126
501,6530.68391,-0.00182
502,6528.75518,-0.00148
503,6526.82645,-0.00113
504,6524.89772,-0.00066
505,6522.96898,0.0003
506,6521.04025,0.00191
507,6519.11152,0.00334
508,6517.18279,0.00287
509,6515.25406,0.00073
510,6513.32533,-0.00076
511,6511.3966,-0.00061
512,6509.46787,5e-05
513,6507.53913,0.0006
514,6505.6104,0.00101
515,6503.68167,0.00083
516,6501.75294,0.00041
517,6499.82421,-4e-05
518,6497.89548,-0.00085
519,6495.96675,-0.00131
520,6494.03802,-0.00109
521,6492.10928,-0.00082
522,6490.18055,-0.00047
523,6488.25182,-0.00012
524,6486.32309,-0.00051
525,6484.39436,-0.00137
526,6482.46563,-0.00166
527,6480.5369,-0.00119
528,6478.60817,-0.00069
529,6476.67944,-0.0005
530,6474.7507,-0.00027
531,6472.82197,0.00059
532,6470.89324,0.00235
533,6468.96451,0.00381
534,6467.03578,0.00366
535,6465.10705,0.00244
536,6463.17832,0.00131
537,6461.24959,0.00064
538,6459.32085,0.00019
539,6457.39212,-2e-05
540,6455.46339,0.00056
541,6453.53466,0.00196
542,6451.60593,0.00317
543,6449.6772,0.00311
544,6447.74847,0.00209
545,6445.81974,0.00096
546,6443.891,-0.00033
547,6441.96227,-0.00144
548,6440.03354,-0.00115
549,6438.10481,0.00021
550,6436.17608,0.00085
551,6434.24735,0.00042
552,6432.31862,-0.00042
553,6430.38989,-0.00144
554,6428.46115,-0.0019
555,6426.53242,-0.00114
556,6424.60369,0.00024
557,6422.67496,0.00107
558,6420.74623,0.00123
559,6418.8175,0.00123
560,6416.88877,0.00087
561,6414.96004,0.00043
562,6413.0313,0.00055
563,6411.10257,0.00059
564,6409.17384,0.00015
565,6407.24511,-0.00015
566,6405.31638,-4e-05
567,6403.38765,0.00022
568,6401.45892,0.00023
569,6399.53019,-2e-05
570,6397.60146,-0.00037
571,6395.67272,-0.00065
572,6393.74399,-0.00078
573,6391.81526,-0.00078
574,6389.88653,-0.00068
575,6387.9578,-0.00107
576,6386.02907,-0.00161
577,6384.10034,-0.00124
578,6382.17161,-0.00054
579,6380.24287,-0.00024
580,6378.31414,-0.00019
581,6376.38541,-0.00041
582,6374.45668,-0.00052
583,6372.52795,0.00023
584,6370.59922,0.00108
585,6368.67049,0.00101
586,6366.74176,0.00109
587,6364.81302,0.00171
588,6362.88429,0.0016
589,6360.95556,0.00077
590,6359.02683,-0.00011
591,6357.0981,-0.00067
592,6355.16937,-0.00056
593,6353.24064,-0.00056
594,6351.31191,-0.00101
595,6349.38317,-0.00081
596,6347.45444,-9e-05
597,6345.52571,-3e-05
598,6343.59698,-0.00066
599,6341.66825,-0.0008
600,6339.73952,0.00021
601,6337.81079,0.00122
602,6335.88206,0.00124
603,6333.95332,0.0008
604,6332.02459,0.00042
605,6330.09586,0.00038
606,6328.16713,0.00097
607,6326.2384,0.00133
608,6324.30967,0.00051
609,6322.38094,-0.00045
610,6320.45221,6e-05
611,6318.52348,0.00141
612,6316.59474,0.00203
613,6314.66601,0.0015
614,6312.73728,0.00025
615,6310.80855,-0.00082
616,6308.87982,-0.00107
617,6306.95109,-0.00075
618,6305.02236,-0.00075
619,6303.09363,-0.00151
620,6301.16489,-0.00197
621,6299.23616,-0.00113
622,6297.30743,0.00035
623,6295.3787,0.00112
624,6293.44997,0.00079
625,6291.52124,0.00022
626,6289.59251,1e-05
627,6287.66378,0.0
628,6285.73504,0.00024
629,6283.80631,0.00068
630,6281.87758,0.00079
631,6279.94885,0.00062
632,6278.02012,0.0009
633,6276.09139,0.00122
634,6274.16266,0.00066
635,6272.23393,-0.00039
636,6270.30519,-0.00073
637,6268.37646,-0.00051
638,6266.44773,-0.00056
639,6264.519,-0.00015
640,6262.59027,0.00094
641,6260.66154,0.00132
642,6258.73281,0.00088
643,6256.80408,0.00077
644,6254.87534,0.00127
645,6252.94661,0.00132
646,6251.01788,0.00034
647,6249.08915,-0.00032
648,6247.16042,0.00025
649,6245.23169,0.00097
650,6243.30296,0.00099
651,6241.37423,0.00074
652,6239.4455,0.0008
653,6237.51676,0.00108
654,6235.58803,0.00097
655,6233.6593,0.00067
656,6231.73057,0.00076
657,6229.80184,0.00078
658,6227.87311,0.0004
659,6225.94438,-5e-05
660,6224.01565,-0.00018
661,6222.08691,-3e-05
662,6220.15818,-3e-05
663,6218.22945,-0.00014
664,6216.30072,-7e-05
665,6214.37199,4e-05
666,6212.44326,0.0002
667,6210.51453,0.00079
668,6208.5858,0.00181
669,6206.65706,0.00208
670,6204.72833,0.00111
671,6202.7996,0.00034
672,6200.87087,0.00054
673,6198.94214,0.001
674,6197.01341,0.00128
675,6195.08468,0.0013
676,6193.15595,0.00106
677,6191.22721,0.00076
678,6189.29848,0.00057
679,6187.36975,0.00024
680,6185.44102,-0.0004
681,6183.51229,-0.00073
682,6181.58356,-0.00045
683,6179.65483,-0.00022
684,6177.7261,-0.00054
685,6175.79736,-0.001
686,6173.86863,-0.00085
687,6171.9399,-0.00035
688,6170.01117,-0.00044
689,6168.08244,-0.00069
690,6166.15371,-0.00011
691,6164.22498,0.00052
692,6162.29625,0.00025
693,6160.36752,-0.00029
694,6158.43878,-0.0001
695,6156.51005,0.00082
696,6154.58132,0.00155
697,6152.65259,0.00145
698,6150.72386,0.00087
699,6148.79513,8e-05
700,6146.8664,-0.00069
701,6144.93767,-0.00064
702,6143.00893,0.00055
703,6141.0802,0.00167
704,6139.15147,0.00161
705,6137.22274,0.00091
706,6135.29401,0.00049
707,6133.36528,0.00027
708,6131.43655,-0.00013
709,6129.50782,-0.00048
710,6127.57908,-0.00036
711,6125.65035,-0.0001
712,6123.72162,7e-05
713,6121.79289,0.00036
714,6119.86416,0.00059
715,6117.93543,0.00049
716,6116.0067,0.00022
717,6114.07797,5e-05
718,6112.14923,0.00029
719,6110.2205,0.00078
720,6108.29177,0.00082
721,6106.36304,0.00062
722,6104.43431,0.00086
723,6102.50558,0.00104
724,6100.57685,0.00046
725,6098.64812,-0.00035
726,6096.71938,-0.00044
727,6094.79065,0.00024
728,6092.86192,0.00112
729,6090.93319,0.0014
730,6089.00446,0.00072
731,6087.07573,-0.00023
732,6085.147,-0.00063
733,6083.21827,-0.00063
734,6081.28954,-0.0008
735,6079.3608,-0.0011
736,6077.43207,-0.00131
737,6075.50334,-0.0012
738,6073.57461,-0.00062
739,6071.64588,-2e-05
740,6069.71715,0.00013
741,6067.78842,8e-05
742,6065.85969,-0.00011
743,6063.93095,-0.00032
744,6062.00222,-3e-05
745,6060.07349,0.00053
746,6058.14476,0.0006
747,6056.21603,0.0001
748,6054.2873,-0.00069
749,6052.35857,-0.00142
750,6050.42984,-0.00159
751,6048.5011,-0.00108
752,6046.57237,-0.00048
753,6044.64364,-0.00017
754,6042.71491,4e-05
755,6040.78618,0.00021
756,6038.85745,0.00019
757,6036.92872,5e-05
758,6034.99999,1e-05
759,6033.07125,2e-05
760,6031.14252,-7e-05
761,6029.21379,-0.00019
762,6027.28506,-0.00022
763,6025.35633,-0.0002
764,6023.4276,-0.00043
765,6021.49887,-0.00074
766,6019.57014,-0.00071
767,6017.6414,-0.0005
768,6015.71267,-0.00044
769,6013.78394,-0.00053
770,6011.85521,-0.00058
771,6009.92648,-0.00067
772,6007.99775,-0.00062
773,6006.06902,-0.00026
774,6004.14029,0.00018
775,6002.21156,0.00052
776,6000.28282,0.00055
777,5998.35409,0.00043
778,5996.42536,0.00044
779,5994.49663,0.00038
780,5992.5679,0.00024
781,5990.63917,0.00032
782,5988.71044,0.00052
783,5986.78171,0.00015
784,5984.85297,-0.00083
785,5982.92424,-0.00116
786,5980.99551,-0.00066
787,5979.06678,-0.00029
788,5977.13805,-4e-05
789,5975.20932,0.00046
790,5973.28059,0.00071
791,5971.35186,0.00047
792,5969.42312,0.00022
793,5967.49439,0.00027
794,5965.56566,0.00043
795,5963.63693,0.0004
796,5961.7082,0.00021
797,5959.77947,1e-05
798,5957.85074,-0.00031
799,5955.92201,-0.00056
800,5953.99327,-0.00031
801,5952.06454,0.00025
802,5950.13581,0.00046
803,5948.20708,0.00015
804,5946.27835,-0.00032
805,5944.34962,-0.00068
806,5942.42089,-0.00112
807,5940.49216,-0.00157
808,5938.56342,-0.00181
809,5936.63469,-0.00187
810,5934.70596,-0.00137
811,5932.77723,-0.00052
812,5930.8485,8e-05
813,5928.91977,0.0004
814,5926.99104,0.00049
815,5925.06231,0.00042
816,5923.13358,0.00028
817,5921.20484,1e-05
818,5919.27611,-0.00021
819,5917.34738,-0.00012
820,5915.41865,0.0001
821,5913.48992,3e-05
822,5911.56119,-0.0004
823,5909.63246,-0.00086
824,5907.70373,-0.00103
825,5905.77499,-0.00063
826,5903.84626,4e-05
827,5901.91753,8e-05
828,5899.9888,-0.00018
829,5898.06007,3e-05
830,5896.13134,0.00028
831,5894.20261,-1e-05
832,5892.27388,-0.00056
833,5890.34514,-0.00069
834,5888.41641,-0.00032
835,5886.48768,5e-05
836,5884.55895,0.00023
837,5882.63022,6e-05
838,5880.70149,-0.00038
839,5878.77276,-0.00033
840,5876.84403,0.00033
841,5874.91529,0.00091
842,5872.98656,0.00121
843,5871.05783,0.0012
844,5869.1291,0.00051
845,5867.20037,-0.00048
846,5865.27164,-0.00071
847,5863.34291,-0.00036
848,5861.41418,-0.00029
849,5859.48544,-0.00025
850,5857.55671,3e-05
851,5855.62798,7e-05
852,5853.69925,-0.00011
853,5851.77052,-0.00011
854,5849.84179,1e-05
855,5847.91306,3e-05
856,5845.98433,0.00013
857,5844.0556,0.0004
858,5842.12686,0.00032
859,5840.19813,-3e-05
860,5838.2694,4e-05
861,5836.34067,0.00033
862,5834.41194,0.00037
863,5832.48321,0.00035
864,5830.55448,0.00041
865,5828.62575,0.00043
866,5826.69701,0.00029
867,5824.76828,0.00013
868,5822.83955,0.00025
869,5820.91082,0.00054
870,5818.98209,0.00068
871,5817.05336,0.00087
872,5815.12463,0.00128
873,5813.1959,0.0015
874,5811.26716,0.00129
875,5809.33843,0.00089
876,5807.4097,0.00061
877,5805.48097,0.00057
878,5803.55224,0.00054
879,5801.62351,0.00037
880,5799.69478,0.00035
881,5797.76605,0.00053
882,5795.83731,0.00067
883,5793.90858,0.00085
884,5791.97985,0.00091
885,5790.05112,0.00056
886,5788.12239,0.00029
887,5786.19366,0.00054
888,5784.26493,0.00073
889,5782.3362,0.00016
890,5780.40746,-0.00074
891,5778.47873,-0.00094
892,5776.55,-0.00051
893,5774.62127,-0.00028
894,5772.69254,-0.00034
895,5770.76381,-0.00031
896,5768.83508,-0.00029
897,5766.90635,-0.00046
898,5764.97762,-0.00066
899,5763.04888,-0.00067
900,5761.12015,-0.00042
901,5759.19142,-0.00014
902,5757.26269,-3e-05
903,5755.33396,6e-05
904,5753.40523,-6e-05
905,5751.4765,-0.00045
906,5749.54777,-0.00045
907,5747.61903,-5e-05
908,5745.6903,0.00011
909,5743.76157,0.0
910,5741.83284,-6e-05
911,5739.90411,2e-05
912,5737.97538,0.00032
913,5736.04665,0.00055
914,5734.11792,0.00041
915,5732.18918,7e-05
916,5730.26045,-0.00034
917,5728.33172,-0.00072
918,5726.40299,-0.00056
919,5724.47426,4e-05
920,5722.54553,0.00035
921,5720.6168,0.00026
922,5718.68807,2e-05
923,5716.75933,-0.00011
924,5714.8306,0.00016
925,5712.90187,0.00063
926,5710.97314,0.00065
927,5709.04441,2e-05
928,5707.11568,-0.00051
929,5705.18695,-0.0002
930,5703.25822,0.00046
931,5701.32948,0.00051
932,5699.40075,8e-05
933,5697.47202,-2e-05
934,5695.54329,0.00018
935,5693.61456,0.00011
936,5691.68583,-0.00015
937,5689.7571,-0.00029
938,5687.82837,-0.00042
939,5685.89964,-0.00069
940,5683.9709,-0.00074
941,5682.04217,-0.00032
942,5680.11344,0.00013
943,5678.18471,0.00013
944,5676.25598,-0.00017
945,5674.32725,-0.00018
946,5672.39852,0.0001
947,5670.46979,0.00023
948,5668.54105,-0.0
